time_period,rmd_sector,stock_net_million_ron,flow_net_million_ron,construction
2021-Q2,G,-369642.7,-17629.2,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2021-Q2,BNR,-25946.2,223.9,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2021-Q2,X,562351.6,20997.0,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2021-Q3,H,630221.2,4324.4,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2021-Q3,C,-825030.0,-4678.1,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2021-Q3,F,18122.9,89.9,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2021-Q3,G,-363150.8,-12928.8,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2021-Q3,BNR,-26760.1,188.1,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2021-Q3,X,566596.6,13004.5,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2021-Q4,H,712251.9,24193.8,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2021-Q4,C,-924556.2,-10220.6,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2021-Q4,F,22965.9,-2644.0,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2021-Q4,G,-368502.4,-34623.8,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2021-Q4,BNR,-28388.5,179.8,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2021-Q4,X,586229.3,23114.4,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2022-Q1,H,712321.5,1234.7,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2022-Q1,C,-944240.6,-13445.0,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
