measure,time_period,rmd_sector,assets_million_ron,liabilities_million_ron,net_million_ron
stock,2021-Q1,C,865299.9,1675023.1,-809723.2
stock,2021-Q1,F,825795.0,805060.9,20734.1
stock,2021-Q1,G,371034.0,722101.6,-351067.6
stock,2021-Q1,BNR,180418.1,205684.6,-25266.5
stock,2021-Q1,X,960107.6,423986.2,536121.4
stock,2021-Q2,H,889715.3,252582.7,637132.6
stock,2021-Q2,C,869083.0,1690796.4,-821713.4
stock,2021-Q2,F,851806.3,833987.8,17818.5
stock,2021-Q2,G,370512.7,740155.4,-369642.7
stock,2021-Q2,BNR,184910.5,210856.7,-25946.2
stock,2021-Q2,X,997126.0,434774.4,562351.6
stock,2021-Q3,H,889095.2,258874.0,630221.2
stock,2021-Q3,C,884987.9,1710017.9,-825030.0
stock,2021-Q3,F,877099.4,858976.5,18122.9
stock,2021-Q3,G,399051.2,762202.0,-363150.8
stock,2021-Q3,BNR,198632.2,225392.3,-26760.1
stock,2021-Q3,X,1027258.0,460661.4,566596.6
stock,2021-Q4,H,967757.2,255505.3,712251.9
stock,2021-Q4,C,1058183.5,1982739.7,-924556.2
stock,2021-Q4,F,932596.5,909630.6,22965.9
stock,2021-Q4,G,397543.0,766045.4,-368502.4
stock,2021-Q4,BNR,202143.3,230531.8,-28388.5
stock,2021-Q4,X,1054539.8,468310.5,586229.3
stock,2022-Q1,H,971854.3,259532.8,712321.5
stock,2022-Q1,C,1083573.7,2027814.3,-944240.6
stock,2022-Q1,F,934701.9,909673.9,25028.0
stock,2022-Q1,G,409017.5,772224.7,-363207.2
stock,2022-Q1,BNR,199744.7,230050.0,-30305.3
stock,2022-Q1,X,1086569.3,486165.5,600403.8
stock,2022-Q2,H,966920.9,265400.0,701520.9
